剧情编号,角色左,角色右,高亮方 右/左/无/皆,背景图片,背景音乐,播放音效,PlotShock,调用函数,选项,内容
0,无,无,无,,AreaCommon0,GroupFight,,,,"Blades gleam, swords cast shadows; the ground darkens as heaven dims. At the Taiyue Grand Ceremony, heroes clash, and for a moment, it's unclear who will emerge victorious."
,,,无,,,SpeEffect/龙咆哮,,HideMemoryCover,,"Just as the decisive moment to determine victory or defeat, life or death approached, suddenly, the earth shook and the seas roiled!"
,玩家,,左,,,,TRUE,,,"What's going on?! Is it an earthquake?! ...Okay, so it's just Senior Brother Yang... Don't shake the bed apart..."
,,杨思迟,右,,,,,,,"#PlayerName#!#PlayerName#! It's already well past sunrise, why are you still sleeping so late!\nWhile still muttering things like 'Take this!' and 'You're too kind' under his breath.\nYou must be doing heroic deeds again in your dreams."
,,,左,,,,,,,"Quiet, I was in the middle of showcasing my skills at the Taiyue Grand Ceremony, dominating all around me, about to crush the major factions... and then you came and ruined it!"
,,,右,,,,,,,"Fine, fine, then I won't bother you \nBut your master is currently waiting for you in the main hall. If he gets too anxious,\n#PlayerName#, don't blame me for not warning you."
,,,左,,,,TRUE,,,Master?!! Why didn't you say so earlier! I'll get dressed right away. You go ahead and stall for time; I'll be there shortly!
,,,右,,,,,ScreenBlack,Get up;ChangeNextPlot,"Alright, alright, hurry up before you fall asleep again."
,玩家,姜映泉,左,,,,,,,Huh…Huh…Disciple #$PlayerName# pays respect to Master!……Huh…
,,,右,,,,,,,"It's already past three in the afternoon; why are you still lounging in your dorm room?\nI went to today's morning training session, #PlayerName#, you didn't go either."
,,,左,,,,,,,"Hehe, Master, I've been studying a new set of techniques recently. This art is rather peculiar; it can only be cultivated in dreams…"
,,,右,,,,,,,"Oh? Could it be the long-lost secret art ""Dream Slay True Dragon""? Very well, you've been in our sect, Xianxia Clan, for several months now. Today, I'll test you to see if your skills have improved."
,,,左,,,,,,,"This, this... Master, I am inexperienced and my martial arts are not refined... Please go easy on me."
,,,右,,,,,FightInteractHero;StudyFight-FightAddPlotDataBase~1,,"Rest assured, I have my limits. First, let me handle this series of Sword!"
1,玩家,姜映泉,左,,AreaCommon2,,,,,Master... please spare me! I can't fight anymore.
,,,右,,,,,,,Hmph! Talk about refining your martial arts in dreams. You haven't even mastered our sect's most basic Linked Sword. What face do you have to beg for mercy!
,杨思迟,,左,,,ItemGet,,,,"They knelt down loudly \nMaster spare me!, #PlayerName# though he sleeps all day long,\nBut he is always punctual for meals, never late once!"
,玩家,,左,,,,,,,"You, you, you..."
,顾游年,,左,,,ItemGet,,,,"(smiling and kneeling)\n#PlayerName# started latest and has the shortest training period.\nIt is understandable that your understanding of this martial arts technique is not yet deep. Please, Master, forgive me."
,玩家,,右,,,,,,,"All of you get up, get up!\n#PlayerName#, Master showed you mercy during our sparring to prevent you from getting seriously injured."
,,,右,,,,,,,What if you encounter bandits or your enemies on your travels? Would they show mercy like I do?
,,,左,,,,,,,"Of course not... Master, I know my mistake!"
,,,左,,,,,,,"If we had encountered thieves just now, disciple would likely be dead by now and unable to serve you in your old age!"
,,,右,,,,,,,"Heh, if you put as much effort into your training as you do into being witty, your skills wouldn't be so pitiful."
,,,右,,,,,,,"#$PlayerName#, you have natural talent, so I naturally have higher expectations for you.\nFrom today onward, you must study diligently and train hard; never be careless or lax again."
,,,右,,,,,,,"To avoid being laughed at by others in the martial world when they hear you're my disciple, I must ensure I don't end up with an unworthy student like you!"
