# NameData given-name character -> canonical romanization syllable.
一	Yi
丁	Ding
七	Qi
万	Wan
三	San
上	Shang
不	Bu
与	Yu
丑	Chou
世	Shi
丘	Qiu
丙	Bing
丛	Cong
东	Dong
丝	Si
中	Zhong
丰	Feng
临	Lin
丹	Dan
主	Zhu
丽	Li
举	Ju
久	Jiu
义	Yi
之	Zhi
乌	Wu
乐	Le
乙	Yi
九	Jiu
书	Shu
乱	Luan
争	Zheng
事	Shi
二	Er
云	Yun
五	Wu
井	Jing
亘	Gen
亚	Ya
亢	Kang
交	Jiao
亦	Yi
京	Jing
亭	Ting
亮	Liang
人	Ren
仁	Ren
仇	Chou
仓	Cang
仙	Xian
代	Dai
令	Ling
以	Yi
仪	Yi
伊	Yi
伏	Fu
优	You
会	Hui
伟	Wei
伯	Bo
伴	Ban
佩	Pei
佳	Jia
依	Yi
侠	Xia
俊	Jun
俏	Qiao
信	Xin
俪	Li
倩	Qian
倾	Qing
健	Jian
儿	Er
元	Yuan
兆	Zhao
先	Xian
光	Guang
克	Ke
入	Ru
全	Quan
八	Ba
公	Gong
六	Liu
兰	Lan
共	Gong
兴	Xing
兵	Bing
其	Qi
内	Nei
军	Jun
冠	Guan
冬	Dong
冰	Bing
冲	Chong
冶	Ye
冷	Leng
净	Jing
准	Zhun
凉	Liang
凌	Ling
凝	Ning
凡	Fan
凤	Feng
凭	Ping
凯	Kai
凰	Huang
出	Chu
击	Ji
刀	Dao
分	Fen
切	Qie
划	Hua
列	Lie
则	Ze
刚	Gang
创	Chuang
初	Chu
利	Li
别	Bie
制	Zhi
刻	Ke
前	Qian
剑	Jian
剧	Ju
力	Li
动	Dong
势	Shi
勇	Yong
勤	Qin
化	Hua
北	Bei
十	Shi
千	Qian
升	Sheng
卉	Hui
半	Ban
华	Hua
协	Xie
单	Dan
南	Nan
博	Bo
占	Zhan
卫	Wei
印	Yin
卷	Juan
卿	Qing
厅	Ting
历	Li
原	Yuan
友	You
双	Shuang
发	Fa
叔	Shu
古	Gu
召	Zhao
可	Ke
台	Tai
史	Shi
叶	Ye
号	Hao
司	Si
合	He
吉	Ji
同	Tong
名	Ming
后	Hou
向	Xiang
君	Jun
含	Han
听	Ting
启	Qi
周	Zhou
命	Ming
和	He
哨	Shao
哲	Zhe
唱	Chang
善	Shan
喜	Xi
嘉	Jia
器	Qi
四	Si
回	Hui
团	Tuan
园	Yuan
固	Gu
国	Guo
图	Tu
圆	Yuan
土	Tu
圣	Sheng
圭	Gui
地	De
坚	Jian
坤	Kun
型	Xing
城	Cheng
域	Yu
基	Ji
堂	Tang
塔	Ta
境	Jing
增	Zeng
墨	Mo
壤	Rang
士	Shi
壬	Ren
壮	Zhuang
声	Sheng
复	Fu
夏	Xia
夕	Xi
外	Wai
夜	Ye
大	Da
天	Tian
太	Tai
夫	Fu
央	Yang
奇	Qi
奋	Fen
奎	Kui
奏	Zou
契	Qi
奕	Yi
女	Nu
好	Hao
如	Ru
妃	Fei
妍	Yan
妙	Miao
妮	Ni
妹	Mei
始	Shi
姑	Gu
姗	Shan
姝	Shu
姬	Ji
姿	Zi
威	Wei
娃	Wa
娇	Jiao
娘	Niang
娜	Na
娟	Juan
婉	Wan
婧	Jing
婵	Chan
婷	Ting
媚	Mei
媛	Yuan
嫣	Yan
子	Zi
字	Zi
季	Ji
孤	Gu
学	Xue
宁	Ning
宇	Yu
守	Shou
安	An
宏	Hong
宗	Zong
宙	Zhou
定	Ding
宛	Wan
宜	Yi
宝	Bao
实	Shi
客	Ke
宫	Gong
家	Jia
容	Rong
宽	Kuan
宾	Bin
密	Mi
富	Fu
寒	Han
寺	Si
寻	Xun
导	Dao
寿	Shou
封	Feng
将	Jiang
尊	Zun
小	Xiao
少	Shao
尔	Er
尖	Jian
尘	Chen
尚	Shang
尤	You
尺	Chi
尽	Jin
居	Ju
屋	Wu
展	Zhan
属	Shu
山	Shan
岛	Dao
岩	Yan
岭	Ling
岳	Yue
峥	Zheng
峰	Feng
崇	Chong
川	Chuan
州	Zhou
工	Gong
巧	Qiao
己	Ji
市	Shi
布	Bu
帅	Shuai
希	Xi
带	Dai
常	Chang
平	Ping
年	Nian
并	Bing
幻	Huan
幽	You
广	Guang
庄	Zhuang
庆	Qing
庚	Geng
庞	Pang
度	Du
庭	Ting
康	Kang
廊	Lang
