# Explicit/special display-only canonical NPC names. Procedural names use NameData romanization.
中年赵胤宗	Zhongnian Zhao Yinzong
中年北怪	Zhongnian Bei Guai
中年南丑	Zhongnian Nan Chou
中年地缺	Zhongnian Di Que
中年天残	Zhongnian Tian Can
司马德源	Sima Deyuan
如是大师	Rushi Dashi
慕容星辰	Murong Xingchen
皇甫青衫	Huangfu Qingshan
真言法王	Zhenyan Fawang
空见大师	Kongjian Dashi
空闻大师	Kongwen Dashi
转轮法王	Zhuanlun Fawang
金刚法王	Jingang Fawang
万仞山	Wan Renshan
上官凤	Shangguan Feng
上官雯	Shangguan Wen
严达开	Yan Dakai
乐无疾	Le Wuji
云九霄	Yun Jiuxiao
云彩衣	Yun Caiyi
何足道	He Zudao
余采薇	Yu Caiwei
傅砚之	Fu Yanzhi
公孙防	Gongsun Fang
凌北渊	Ling Beiyuan
凤南飞	Feng Nanfei
北冥雪	Beiming Xue
卓远望	Zhuo Yuanwang
南宫瑶	Nangong Yao
卢玉麟	Lu Yulin
卫海川	Wei Haichuan
厉苍穹	Li Cangqiong
双汇能	Shuanghui Energy
叶一鸣	Ye Yiming
吕天行	Lü Tianxing
吕子芳	Lü Zifang
吕寻峰	Lü Xunfeng
吕舞阳	Lü Wuyang
周莫知	Zhou Mozhi
唐嫣然	Tang Yanran
唐逸影	Tang Yiying
墨从义	Mo Congyi
墨璇玑	Mo Xuanji
夏天雄	Xia Tianxiong
姜映泉	Jiang Yingquan
姬清梵	Ji Qingfan
孟婆娑	Meng Posuo
孟经世	Meng Jingshi
宇文极	Yuwen Ji
宋廉庭	Song Lianting
宋明公	Song Minggong
岳无畏	Yue Wuwei
崔命官	Cui Mingguan
常无白	Chang Wubai
常无黑	Chang Wuhei
庄晓梦	Zhuang Xiaomeng
张弥勒	Zhang Mile
张成化	Zhang Chenghua
张文馨	Zhang Wenxin
张青蓬	Zhang Qingpeng
徐不平	Xu Buping
思中澜	Si Zhonglan
斗酒僧	Doujiu Seng
曲佩环	Qu Peihuan
曲自封	Qu Zifeng
曾镇海	Zeng Zhenhai
朱断岳	Zhu Duanyue
李云鹤	Li Yunhe
李天临	Li Tianlin
李潇湘	Li Xiaoxiang
杨思迟	Yang Sichi
林云裳	Lin Yunshang
林弄影	Lin Nongying
柳如月	Liu Ruyue
楚风疾	Chu Fengji
欧长兵	Ou Changbing
武绝义	Wu Jueyi
殷雨霏	Yin Yufei
水清秋	Shui Qingqiu
江映寒	Jiang Yinghan
炼气士	Lianqishi
熊百胜	Xiong Baisheng
独孤剑	Dugu Jian
独臂刀	Dubi Dao
玉观音	Yu Guanyin
王添翼	Wang Tianyi
白云天	Bai Yuntian
皇甫斌	Huangfu Bin
石守信	Shi Shouxin
石崇虎	Shi Chonghu
祖心炎	Zu Xinyan
罗八怪	Luo Bagua
菲燕子	Fei Yanzi
葛知远	Ge Zhiyuan
计心狂	Ji Xinkuang
诸葛伶	Zhuge Ling
赵义仁	Zhao Yiren
赵破虏	Zhao Polu
赵胤宗	Zhao Yinzong
迟百城	Chi Baicheng
逍遥生	Xiaoyaosheng
道无名	Dao Wuming
郝大力	Hao Dali
郭勇锐	Guo Yongrui
都点检	Dudianjian
金龙生	Jin Longsheng
闻惊鸿	Wen Jinghong
阎罗王	Yanluo Wang
陆仁谦	Lu Renqian
陆沉舟	Lu Chenzhou
陌田桑	Mo Tiansang
雨人屠	Yu Rentu
雷冠群	Lei Guanqun
雷殷殷	Lei Yinyin
雷震天	Lei Zhentian
