# NameData surname -> canonical romanization. Used only for display, never game keys.
东方	Dongfang
东郭	Dongguo
令狐	Linghu
公冶	Gongye
公孙	Gongsun
单于	Chanyu
南门	Nanmen
司徒	Situ
司空	Sikong
司马	Sima
呼延	Huyan
夏侯	Xiahou
太史	Taishi
宇文	Yuwen
尉迟	Yuchi
慕容	Murong
拓跋	Tuoba
欧阳	Ouyang
独孤	Dugu
百里	Baili
皇甫	Huangfu
端木	Duanmu
诸葛	Zhuge
赫连	Helian
轩辕	Xuanyuan
钟离	Zhongli
长孙	Zhangsun
鲜于	Xianyu
丁	Ding
万	Wan
东	Dong
严	Yan
丰	Feng
乌	Wu
乐	Yue
乔	Qiao
于	Yu
云	Yun
井	Jing
亢	Kang
仇	Qiu
从	Cong
仰	Yang
仲	Zhong
任	Ren
伊	Yi
伍	Wu
伏	Fu
伯	Bo
何	He
余	Yu
佟	Tong
侯	Hou
俞	Yu
倪	Ni
傅	Fu
储	Chu
元	Yuan
充	Chong
党	Dang
全	Quan
公	Gong
关	Guan
养	Yang
冀	Ji
冉	Ran
农	Nong
冯	Feng
况	Kuang
冷	Leng
凌	Ling
凤	Feng
刁	Diao
刘	Liu
利	Li
别	Bie
劳	Lao
勾	Gou
包	Bao
匡	Kuang
华	Hua
卓	Zhuo
单	Shan
卜	Bo
卞	Bian
卢	Lu
卫	Wei
印	Yin
危	Wei
厉	Li
双	Shuang
古	Gu
史	Shi
叶	Ye
司	Si
吉	Ji
后	Hou
向	Xiang
吕	Lu
吴	Wu
周	Zhou
和	He
咸	Xian
唐	Tang
商	Shang
喻	Yu
国	Guo
堵	Du
墨	Mo
夏	Xia
奚	Xi
姚	Yao
姜	Jiang
姬	Ji
娄	Lou
孔	Kong
孙	Sun
孟	Meng
季	Ji
安	An
宋	Song
宗	Zong
宣	Xuan
宦	Huan
宫	Gong
家	Jia
容	Rong
宿	Su
寇	Kou
富	Fu
寿	Shou
封	Feng
尚	Shang
尤	You
尹	Yin
居	Ju
屈	Qu
屠	Tu
山	Shan
岑	Cen
岳	Yue
崔	Cui
嵇	Ji
巢	Chao
左	Zuo
巩	Gong
巫	Wu
巴	Ba
帅	Shuai
师	Shi
席	Xi
常	Chang
干	Gan
平	Ping
年	Nian
幸	Xing
广	Guang
庄	Zhuang
应	Ying
庞	Pang
康	Kang
庾	Yu
廉	Lian
廖	Liao
弓	Gong
弘	Hong
张	Zhang
强	Qiang
归	Gui
彭	Peng
徐	Xu
怀	Huai
惠	Hui
慎	Shen
慕	Mu
戈	Ge
戎	Rong
成	Cheng
戚	Qi
戴	Dai
房	Fang
扈	Hu
扶	Fu
支	Zhi
敖	Ao
文	Wen
方	Fang
施	Shi
时	Shi
昌	Chang
明	Ming
易	Yi
晁	Chao
晋	Jin
晏	Yan
景	Jing
暴	Bao
曲	Qu
曹	Cao
曾	Zeng
朱	Zhu
权	Quan
李	Li
杜	Du
束	Shu
杨	Yang
杭	Hang
松	Song
林	Lin
柏	Bai
查	Zha
柯	Ke
柳	Liu
柴	Chai
桂	Gui
桑	Sang
桓	Huan
梁	Liang
梅	Mei
楚	Chu
樊	Fan
欧	Ou
步	Bu
武	Wu
段	Duan
殷	Yin
毋	Wu
毕	Bi
水	Shui
江	Jiang
池	Chi
汤	Tang
汪	Wang
汲	Ji
沃	Wo
沈	Shen
沙	Sha
法	Fa
洪	Hong
浦	Pu
海	Hai
涂	Tu
温	Wen
游	You
湛	Zhan
滑	Hua
满	Man
潘	Pan
濮	Pu
焦	Jiao
熊	Xiong
燕	Yan
爱	Ai
牛	Niu
牟	Mou
牧	Mu
狄	Di
王	Wang
班	Ban
琴	Qin
甄	Zhen
甘	Gan
田	Tian
申	Shen
白	Bai
皮	Pi
益	Yi
盖	Ge
盛	Sheng
相	Xiang
督	Du
石	Shi
祁	Qi
祖	Zu
祝	Zhu
禄	Lu
福	Fu
禹	Yu
秋	Qiu
秦	Qin
程	Cheng
穆	Mu
空	Kong
窦	Dou
章	Zhang
童	Tong
竺	Zhu
符	Fu
简	Jian
管	Guan
籍	Ji
米	Mi
糜	Mi
索	Suo
红	Hong
纪	Ji
终	Zhong
经	Jing
缪	Miao
罗	Luo
羊	Yang
羿	Yi
翁	Weng
翟	Di
耿	Geng
聂	Nie
胡	Hu
胥	Xu
能	Neng
臧	Zang
舒	Shu
艾	Ai
芮	Rui
花	Hua
苍	Cang
苏	Su
苗	Miao
范	Fan
茅	Mao
茹	Ru
荀	Xun
